Token	POS-Tag	OOV	Id	Index	Documento
A	DET	0	1	0	A segurança cibernética tornou-se um dos pilares fundamentais da sociedade contemporânea , pois vivemos em um mundo cada vez mais conectado , onde informações pessoais , financeiras e corporativas circulam constantemente em redes digitais que precisam ser protegidas contra ameaças crescentes .
segurança	NOUN	0	1	1	A segurança cibernética tornou-se um dos pilares fundamentais da sociedade contemporânea , pois vivemos em um mundo cada vez mais conectado , onde informações pessoais , financeiras e corporativas circulam constantemente em redes digitais que precisam ser protegidas contra ameaças crescentes .
cibernética	ADJ	1	1	2	A segurança cibernética tornou-se um dos pilares fundamentais da sociedade contemporânea , pois vivemos em um mundo cada vez mais conectado , onde informações pessoais , financeiras e corporativas circulam constantemente em redes digitais que precisam ser protegidas contra ameaças crescentes .
tornou-se	VERB	1	1	3	A segurança cibernética tornou-se um dos pilares fundamentais da sociedade contemporânea , pois vivemos em um mundo cada vez mais conectado , onde informações pessoais , financeiras e corporativas circulam constantemente em redes digitais que precisam ser protegidas contra ameaças crescentes .
um	NUM	0	1	4	A segurança cibernética tornou-se um dos pilares fundamentais da sociedade contemporânea , pois vivemos em um mundo cada vez mais conectado , onde informações pessoais , financeiras e corporativas circulam constantemente em redes digitais que precisam ser protegidas contra ameaças crescentes .
dos	ADP	0	1	5	A segurança cibernética tornou-se um dos pilares fundamentais da sociedade contemporânea , pois vivemos em um mundo cada vez mais conectado , onde informações pessoais , financeiras e corporativas circulam constantemente em redes digitais que precisam ser protegidas contra ameaças crescentes .
pilares	NOUN	0	1	6	A segurança cibernética tornou-se um dos pilares fundamentais da sociedade contemporânea , pois vivemos em um mundo cada vez mais conectado , onde informações pessoais , financeiras e corporativas circulam constantemente em redes digitais que precisam ser protegidas contra ameaças crescentes .
fundamentais	ADJ	0	1	7	A segurança cibernética tornou-se um dos pilares fundamentais da sociedade contemporânea , pois vivemos em um mundo cada vez mais conectado , onde informações pessoais , financeiras e corporativas circulam constantemente em redes digitais que precisam ser protegidas contra ameaças crescentes .
da	ADP	0	1	8	A segurança cibernética tornou-se um dos pilares fundamentais da sociedade contemporânea , pois vivemos em um mundo cada vez mais conectado , onde informações pessoais , financeiras e corporativas circulam constantemente em redes digitais que precisam ser protegidas contra ameaças crescentes .
sociedade	NOUN	0	1	9	A segurança cibernética tornou-se um dos pilares fundamentais da sociedade contemporânea , pois vivemos em um mundo cada vez mais conectado , onde informações pessoais , financeiras e corporativas circulam constantemente em redes digitais que precisam ser protegidas contra ameaças crescentes .
contemporânea	ADJ	0	1	10	A segurança cibernética tornou-se um dos pilares fundamentais da sociedade contemporânea , pois vivemos em um mundo cada vez mais conectado , onde informações pessoais , financeiras e corporativas circulam constantemente em redes digitais que precisam ser protegidas contra ameaças crescentes .
,	PUNCT	0	1	11	A segurança cibernética tornou-se um dos pilares fundamentais da sociedade contemporânea , pois vivemos em um mundo cada vez mais conectado , onde informações pessoais , financeiras e corporativas circulam constantemente em redes digitais que precisam ser protegidas contra ameaças crescentes .
pois	SCONJ	0	1	12	A segurança cibernética tornou-se um dos pilares fundamentais da sociedade contemporânea , pois vivemos em um mundo cada vez mais conectado , onde informações pessoais , financeiras e corporativas circulam constantemente em redes digitais que precisam ser protegidas contra ameaças crescentes .
vivemos	VERB	1	1	13	A segurança cibernética tornou-se um dos pilares fundamentais da sociedade contemporânea , pois vivemos em um mundo cada vez mais conectado , onde informações pessoais , financeiras e corporativas circulam constantemente em redes digitais que precisam ser protegidas contra ameaças crescentes .
em	ADP	0	1	14	A segurança cibernética tornou-se um dos pilares fundamentais da sociedade contemporânea , pois vivemos em um mundo cada vez mais conectado , onde informações pessoais , financeiras e corporativas circulam constantemente em redes digitais que precisam ser protegidas contra ameaças crescentes .
um	DET	0	1	15	A segurança cibernética tornou-se um dos pilares fundamentais da sociedade contemporânea , pois vivemos em um mundo cada vez mais conectado , onde informações pessoais , financeiras e corporativas circulam constantemente em redes digitais que precisam ser protegidas contra ameaças crescentes .
mundo	NOUN	0	1	16	A segurança cibernética tornou-se um dos pilares fundamentais da sociedade contemporânea , pois vivemos em um mundo cada vez mais conectado , onde informações pessoais , financeiras e corporativas circulam constantemente em redes digitais que precisam ser protegidas contra ameaças crescentes .
cada	NOUN	0	1	17	A segurança cibernética tornou-se um dos pilares fundamentais da sociedade contemporânea , pois vivemos em um mundo cada vez mais conectado , onde informações pessoais , financeiras e corporativas circulam constantemente em redes digitais que precisam ser protegidas contra ameaças crescentes .
vez	ADP	0	1	18	A segurança cibernética tornou-se um dos pilares fundamentais da sociedade contemporânea , pois vivemos em um mundo cada vez mais conectado , onde informações pessoais , financeiras e corporativas circulam constantemente em redes digitais que precisam ser protegidas contra ameaças crescentes .
mais	ADV	0	1	19	A segurança cibernética tornou-se um dos pilares fundamentais da sociedade contemporânea , pois vivemos em um mundo cada vez mais conectado , onde informações pessoais , financeiras e corporativas circulam constantemente em redes digitais que precisam ser protegidas contra ameaças crescentes .
conectado	ADJ	1	1	20	A segurança cibernética tornou-se um dos pilares fundamentais da sociedade contemporânea , pois vivemos em um mundo cada vez mais conectado , onde informações pessoais , financeiras e corporativas circulam constantemente em redes digitais que precisam ser protegidas contra ameaças crescentes .
,	PUNCT	0	1	21	A segurança cibernética tornou-se um dos pilares fundamentais da sociedade contemporânea , pois vivemos em um mundo cada vez mais conectado , onde informações pessoais , financeiras e corporativas circulam constantemente em redes digitais que precisam ser protegidas contra ameaças crescentes .
onde	PRON	0	1	22	A segurança cibernética tornou-se um dos pilares fundamentais da sociedade contemporânea , pois vivemos em um mundo cada vez mais conectado , onde informações pessoais , financeiras e corporativas circulam constantemente em redes digitais que precisam ser protegidas contra ameaças crescentes .
