Token	POS-Tag	OOV	Id	Index	Granularidade	Documento
A	DET	0	1	0	0	A segurança cibernética tornou-se um dos pilares fundamentais da sociedade contemporânea , pois vivemos em um mundo cada vez mais conectado , onde informações pessoais , financeiras e corporativas circulam constantemente em redes digitais que precisam ser protegidas contra ameaças crescentes .
segurança	NOUN	0	1	1	0	A segurança cibernética tornou-se um dos pilares fundamentais da sociedade contemporânea , pois vivemos em um mundo cada vez mais conectado , onde informações pessoais , financeiras e corporativas circulam constantemente em redes digitais que precisam ser protegidas contra ameaças crescentes .
cibernética	ADJ	1	1	2	0	A segurança cibernética tornou-se um dos pilares fundamentais da sociedade contemporânea , pois vivemos em um mundo cada vez mais conectado , onde informações pessoais , financeiras e corporativas circulam constantemente em redes digitais que precisam ser protegidas contra ameaças crescentes .
tornou-se	VERB	1	1	3	0	A segurança cibernética tornou-se um dos pilares fundamentais da sociedade contemporânea , pois vivemos em um mundo cada vez mais conectado , onde informações pessoais , financeiras e corporativas circulam constantemente em redes digitais que precisam ser protegidas contra ameaças crescentes .
um	NUM	0	1	4	0	A segurança cibernética tornou-se um dos pilares fundamentais da sociedade contemporânea , pois vivemos em um mundo cada vez mais conectado , onde informações pessoais , financeiras e corporativas circulam constantemente em redes digitais que precisam ser protegidas contra ameaças crescentes .
dos	ADP	0	1	5	0	A segurança cibernética tornou-se um dos pilares fundamentais da sociedade contemporânea , pois vivemos em um mundo cada vez mais conectado , onde informações pessoais , financeiras e corporativas circulam constantemente em redes digitais que precisam ser protegidas contra ameaças crescentes .
pilares	NOUN	0	1	6	0	A segurança cibernética tornou-se um dos pilares fundamentais da sociedade contemporânea , pois vivemos em um mundo cada vez mais conectado , onde informações pessoais , financeiras e corporativas circulam constantemente em redes digitais que precisam ser protegidas contra ameaças crescentes .
fundamentais	ADJ	0	1	7	0	A segurança cibernética tornou-se um dos pilares fundamentais da sociedade contemporânea , pois vivemos em um mundo cada vez mais conectado , onde informações pessoais , financeiras e corporativas circulam constantemente em redes digitais que precisam ser protegidas contra ameaças crescentes .
da	ADP	0	1	8	0	A segurança cibernética tornou-se um dos pilares fundamentais da sociedade contemporânea , pois vivemos em um mundo cada vez mais conectado , onde informações pessoais , financeiras e corporativas circulam constantemente em redes digitais que precisam ser protegidas contra ameaças crescentes .
sociedade	NOUN	0	1	9	0	A segurança cibernética tornou-se um dos pilares fundamentais da sociedade contemporânea , pois vivemos em um mundo cada vez mais conectado , onde informações pessoais , financeiras e corporativas circulam constantemente em redes digitais que precisam ser protegidas contra ameaças crescentes .
contemporânea	ADJ	0	1	10	0	A segurança cibernética tornou-se um dos pilares fundamentais da sociedade contemporânea , pois vivemos em um mundo cada vez mais conectado , onde informações pessoais , financeiras e corporativas circulam constantemente em redes digitais que precisam ser protegidas contra ameaças crescentes .
,	PUNCT	0	1	11	0	A segurança cibernética tornou-se um dos pilares fundamentais da sociedade contemporânea , pois vivemos em um mundo cada vez mais conectado , onde informações pessoais , financeiras e corporativas circulam constantemente em redes digitais que precisam ser protegidas contra ameaças crescentes .
pois	SCONJ	0	1	12	0	A segurança cibernética tornou-se um dos pilares fundamentais da sociedade contemporânea , pois vivemos em um mundo cada vez mais conectado , onde informações pessoais , financeiras e corporativas circulam constantemente em redes digitais que precisam ser protegidas contra ameaças crescentes .
