Sentença	Id	Index	Granularidade	Documento
A segurança cibernética tornou-se um dos pilares fundamentais da sociedade contemporânea, pois vivemos em um mundo cada vez mais conectado, onde informações pessoais, financeiras e corporativas circulam constantemente em redes digitais que precisam ser protegidas contra ameaças crescentes.	1	0	0	A segurança cibernética tornou-se um dos pilares fundamentais da sociedade contemporânea , pois vivemos em um mundo cada vez mais conectado , onde informações pessoais , financeiras e corporativas circulam constantemente em redes digitais que precisam ser protegidas contra ameaças crescentes .
0	1	-1	1	A segurança cibernética tornou-se um dos pilares fundamentais da sociedade contemporânea , pois vivemos em um mundo cada vez mais conectado , onde informações pessoais , financeiras e corporativas circulam constantemente em redes digitais que precisam ser protegidas contra ameaças crescentes .
Com a expansão da internet e a digitalização de serviços, surgiram novas oportunidades para criminosos explorarem vulnerabilidades, utilizando técnicas sofisticadas como phishing, ransomware e engenharia social, que podem comprometer dados sensíveis e causar prejuízos irreparáveis às vítimas.	2	0	0	Com a expansão da internet e a digitalização de serviços , surgiram novas oportunidades para criminosos explorarem vulnerabilidades , utilizando técnicas sofisticadas como phishing , ransomware e engenharia social , que podem comprometer dados sensíveis e causar prejuízos irreparáveis às vítimas .
1	2	-1	1	Com a expansão da internet e a digitalização de serviços , surgiram novas oportunidades para criminosos explorarem vulnerabilidades , utilizando técnicas sofisticadas como phishing , ransomware e engenharia social , que podem comprometer dados sensíveis e causar prejuízos irreparáveis às vítimas .
Empresas de todos os portes enfrentam desafios constantes para proteger suas infraestruturas digitais, investindo em firewalls, sistemas de criptografia, monitoramento em tempo real e programas de conscientização para funcionários, que muitas vezes são o elo mais fraco da cadeia de segurança.	3	0	0	Empresas de todos os portes enfrentam desafios constantes para proteger suas infraestruturas digitais , investindo em firewalls , sistemas de criptografia , monitoramento em tempo real e programas de conscientização para funcionários , que muitas vezes são o elo mais fraco da cadeia de segurança .
2	3	-1	1	Empresas de todos os portes enfrentam desafios constantes para proteger suas infraestruturas digitais , investindo em firewalls , sistemas de criptografia , monitoramento em tempo real e programas de conscientização para funcionários , que muitas vezes são o elo mais fraco da cadeia de segurança .
A conscientização dos usuários é tão importante quanto a tecnologia empregada, pois um simples clique em um link suspeito pode abrir portas para invasores, comprometendo não apenas dados pessoais, mas também informações estratégicas de organizações inteiras.	4	0	0	A conscientização dos usuários é tão importante quanto a tecnologia empregada , pois um simples clique em um link suspeito pode abrir portas para invasores , comprometendo não apenas dados pessoais , mas também informações estratégicas de organizações inteiras .
3	4	-1	1	A conscientização dos usuários é tão importante quanto a tecnologia empregada , pois um simples clique em um link suspeito pode abrir portas para invasores , comprometendo não apenas dados pessoais , mas também informações estratégicas de organizações inteiras .
A educação digital deve ser vista como prioridade, ensinando práticas seguras como a criação de senhas fortes, uso de autenticação em dois fatores, atualização constante de softwares e desconfiança diante de mensagens ou ofertas aparentemente milagrosas.	5	0	0	A educação digital deve ser vista como prioridade , ensinando práticas seguras como a criação de senhas fortes , uso de autenticação em dois fatores , atualização constante de softwares e desconfiança diante de mensagens ou ofertas aparentemente milagrosas .
4	5	-1	1	A educação digital deve ser vista como prioridade , ensinando práticas seguras como a criação de senhas fortes , uso de autenticação em dois fatores , atualização constante de softwares e desconfiança diante de mensagens ou ofertas aparentemente milagrosas .
